High_RNN,Low_RNN,Open_RNN,Close_RNN
201.62863,197.79944,198.46652,200.16951
197.54825,193.77313,194.43738,196.10933
184.44342,180.84196,181.49715,183.06943
153.317,150.12802,150.76163,152.09717
236.3424,232.0532,232.74434,234.71135
184.46037,180.8587,181.51389,183.08629
197.69383,193.9168,194.58115,196.25421
197.30064,193.52882,194.1929,195.86296
161.29166,157.99701,158.63612,160.03232
210.44666,206.50061,207.1738,208.94385
198.73618,194.94531,195.6104,197.29138
196.13165,192.37532,193.03859,194.69977
166.84596,163.4777,164.12068,165.55913
192.99327,189.27852,189.9396,191.57692
180.66428,177.1129,177.76546,179.30899
172.63452,169.18956,169.83655,171.319
200.75755,196.93991,197.60638,199.30275
207.17711,203.2744,203.94533,205.6905
199.45284,195.65248,196.31805,198.00449
193.83736,190.11142,190.7731,192.41682
193.66582,189.94215,190.60371,192.24612
171.92183,168.48631,169.1328,170.60985
203.64093,199.78508,200.45355,202.17184
180.86055,177.30658,177.95926,179.50429
114.42725,111.75365,112.36029,113.40005
102.93921,100.41784,101.016525,101.9689
345.51413,339.7782,340.545,343.34235
198.06967,194.28764,194.95226,196.62817
231.52127,227.29596,227.98375,229.9141
198.70448,194.91405,195.5791,197.25984
195.08865,191.34613,192.00868,193.66193
178.22154,174.70255,175.35341,176.87836
211.79688,207.83295,208.50706,210.2874
199.4763,195.67564,196.34123,198.02785
170.21114,166.79828,167.44359,168.90762
218.36234,214.3114,214.99008,216.82033
162.94093,159.62444,160.2647,161.67343
264.21024,259.55173,260.26218,262.44113
204.90607,201.03345,201.7028,203.43071
208.34004,204.42192,205.09364,206.84769
203.52736,199.67302,200.3414,202.05884
217.74576,213.703,214.38124,216.20682
205.72507,201.8416,202.51152,204.24565
182.82693,179.2469,179.90096,181.46094
208.73085,204.80754,205.47955,207.23656
210.69177,206.74248,207.41585,209.18776
217.51146,213.4718,214.14989,215.97368
191.96446,188.26334,188.92372,190.5532
191.41208,187.71828,188.37828,190.00356
207.41878,203.51286,204.18394,205.93097
209.1205,205.19203,205.8643,207.62427
204.06827,200.20676,200.87552,202.59706
227.13052,222.9634,223.64815,225.54509
185.93156,182.3104,182.96658,184.55019
209.95374,206.01424,206.68707,208.45338
204.73817,200.86778,201.53702,203.26366
201.62485,197.7957,198.46278,200.16574
219.63835,215.57051,216.25008,218.09004
170.55977,167.1423,167.78784,169.25453
